rowScope,modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,runCount,forecastCount,nonfiniteForecastCount,nonfiniteForecastFraction,oneStepPairCount,oneStepNonfiniteCount,oneStepLiftedRelativeError,oneStepInnovationRMSE,oneStepInnovationNormalizedRMSE,constantCoordinateRMSE,quadraticConsistencyRMSE,quadraticConsistencyRelativeError,consistencyNonfiniteCount
run,EDMD hybrid,varied,varied_seed_130202,12,130202,100,0.1,1,128,0,0,128,0,0.0374713047242037,0.000510519923828132,0.0441420620785058,0,0.606449125281595,1.06924413420728,0
run,EDMD hybrid,varied,varied_seed_130202,12,130202,250,0.25,1,128,0,0,128,0,0.0374713047242037,0.000510519923828132,0.0441420620785058,0,0.672623043489041,1.50271252537632,0
run,Linear hybrid,varied,varied_seed_130203,13,130203,1,0.001,1,128,0,0,128,0,0.0249232034512185,0.000546842252177314,0.04728266913024,0,0,0,0
run,Linear hybrid,varied,varied_seed_130203,13,130203,20,0.02,1,128,0,0,128,0,0.0249232034512185,0.000546842252177314,0.04728266913024,0,0,0,0
run,Linear hybrid,varied,varied_seed_130203,13,130203,50,0.05,1,128,0,0,128,0,0.0249232034512185,0.000546842252177314,0.04728266913024,0,0,0,0
run,Linear hybrid,varied,varied_seed_130203,13,130203,100,0.1,1,128,0,0,128,0,0.0249232034512185,0.000546842252177314,0.04728266913024,0,0,0,0
run,Linear hybrid,varied,varied_seed_130203,13,130203,250,0.25,1,128,0,0,128,0,0.0249232034512185,0.000546842252177314,0.04728266913024,0,0,0,0
run,EDMD hybrid,varied,varied_seed_130203,13,130203,1,0.001,1,128,0,0,128,0,0.0309620252446821,0.000546121974304489,0.0472203903648245,0,0.0205269361011901,0.0180222782849758,0
run,EDMD hybrid,varied,varied_seed_130203,13,130203,20,0.02,1,128,0,0,128,0,0.0309620252446821,0.000546121974304489,0.0472203903648245,0,0.172722020371465,0.150515584164111,0
run,EDMD hybrid,varied,varied_seed_130203,13,130203,50,0.05,1,128,0,0,128,0,0.0309620252446821,0.000546121974304489,0.0472203903648245,0,0.364888931748834,0.309135727924967,0
run,EDMD hybrid,varied,varied_seed_130203,13,130203,100,0.1,1,128,0,0,128,0,0.0309620252446821,0.000546121974304489,0.0472203903648245,0,0.684322215555424,0.554867492011291,0
run,EDMD hybrid,varied,varied_seed_130203,13,130203,250,0.25,1,128,0,0,128,0,0.0309620252446821,0.000546121974304489,0.0472203903648245,0,1.07335524615561,0.955221135454296,0
run,Linear hybrid,varied,varied_seed_130204,14,130204,1,0.001,1,128,0,0,128,0,0.0306763177065395,0.000536266115866895,0.0463682043977677,0,0,0,0
run,Linear hybrid,varied,varied_seed_130204,14,130204,20,0.02,1,128,0,0,128,0,0.0306763177065395,0.000536266115866895,0.0463682043977677,0,0,0,0
run,Linear hybrid,varied,varied_seed_130204,14,130204,50,0.05,1,128,0,0,128,0,0.0306763177065395,0.000536266115866895,0.0463682043977677,0,0,0,0
run,Linear hybrid,varied,varied_seed_130204,14,130204,100,0.1,1,128,0,0,128,0,0.0306763177065395,0.000536266115866895,0.0463682043977677,0,0,0,0
