Case,Comparison,Signal,MaxAbsoluteDifference,ReferencePeakAbsolute,Limit,Pass,PeakAbsoluteDifference,RMSDifference
holdout_load4ohm,native_to_original_spice_0.125ns,bus_V,3.00983452916626e-05,24.0349365881907,0.240349365881907,1,1.06584963077694e-10,4.65711043487186e-07
holdout_load4ohm,native_to_original_spice_0.125ns,highVgs_V,0.00078768290800113,11.9999966977506,0.119999966977506,1,2.61222155018004e-09,8.48035152745868e-06
holdout_load4ohm,native_to_original_spice_0.125ns,lowVgs_V,0.00121646048804069,11.9999870265733,0.119999870265733,1,9.16658748906229e-10,1.26507702135296e-05
holdout_load4ohm,native_to_original_spice_0.125ns,highVds_V,0.00482117176553842,25.4307349631908,0.254307349631908,1,0.000165882231826231,4.1345149750943e-05
holdout_load4ohm,native_to_original_spice_0.125ns,lowVds_V,0.00483234077434069,24.1810097610011,0.241810097610011,1,7.35164666672006e-05,4.13897746311309e-05
holdout_load4ohm,native_to_original_spice_0.125ns,highCurrent_A,0.00302421164048283,12.0561940535845,0.120561940535845,1,0.00108710446391136,4.63301168243689e-05
holdout_load4ohm,native_to_original_spice_0.125ns,lowCurrent_A,0.00302421338421066,6.17400876923507,0.0617400876923507,1,0.00012611608242441,4.63301348560724e-05
holdout_load4ohm,native_to_original_spice_0.125ns,highGateCurrent_A,3.15073177260539e-05,0.398133929292413,0.01,1,1.45358922249983e-05,3.39214064993578e-07
holdout_load4ohm,native_to_original_spice_0.125ns,lowGateCurrent_A,4.86584209045821e-05,0.426466621488765,0.01,1,1.99557790444005e-05,5.06030830744421e-07
holdout_load4ohm,native_to_original_spice_0.125ns,loadCurrent_A,1.91202431665261e-09,5.92433680038269,0.0592433680038269,1,7.87505172183955e-10,6.00205534465001e-10
holdout_load4ohm,native_to_original_spice_0.125ns,feedCurrent_A,2.71944709095973e-06,5.92433745954776,0.0592433745954776,1,1.04537090095391e-09,7.39431006238364e-07
holdout_gate47,native_0.5_to_0.125ns,switch_V,0.0175467660109772,27.3549859317143,0.273549859317143,1,1.96284608691144e-05,0.000388752549555835
holdout_gate47,native_0.5_to_0.125ns,bus_V,0.000234287061410043,24.0808567189387,0.240808567189387,1,7.04205831425497e-07,1.5619097934127e-05
holdout_gate47,native_0.5_to_0.125ns,highVgs_V,0.00351073506244326,11.9999934003679,0.119999934003679,1,0,6.30626820496193e-05
holdout_gate47,native_0.5_to_0.125ns,lowVgs_V,0.00682142475621195,11.9904647361148,0.119904647361148,1,3.20575157530811e-08,0.000118513779034982
holdout_gate47,native_0.5_to_0.125ns,highVds_V,0.0175758448317147,27.212481910445,0.27212481910445,1,0.000261992024764623,0.000388008671229806
holdout_gate47,native_0.5_to_0.125ns,lowVds_V,0.0175467660109772,27.3549859317143,0.273549859317143,1,1.96284608691144e-05,0.000388752549555835
holdout_gate47,native_0.5_to_0.125ns,highCurrent_A,0.0223647854339903,186.919472830665,1.86919472830665,1,0.00562990080058512,0.00144548443714184
holdout_gate47,native_0.5_to_0.125ns,lowCurrent_A,0.022364799512947,183.954820417779,1.83954820417779,1,0.00563015662828548,0.00144548445149774
holdout_gate47,native_0.5_to_0.125ns,highGateCurrent_A,7.02147012489329e-05,0.217760036763448,0.01,1,6.75942343845437e-05,1.26125364099325e-06
holdout_gate47,native_0.5_to_0.125ns,lowGateCurrent_A,0.000136428495124227,0.217588381715747,0.01,1,6.77040809385354e-05,2.37027558069979e-06
holdout_gate47,native_0.5_to_0.125ns,loadCurrent_A,1.99068903583566e-08,2.98096418635246,0.0298096418635246,1,1.30784272300843e-12,3.39331116149086e-09
holdout_gate47,native_0.5_to_0.125ns,feedCurrent_A,0.000232422279266231,14.1407811266504,0.141407811266504,1,0.000115605788909789,8.81873534869569e-05
holdout_gate47,native_0.25_to_0.125ns,switch_V,0.00510228536014568,27.3549859317143,0.273549859317143,1,5.26314556523744e-05,8.12413469504478e-05
holdout_gate47,native_0.25_to_0.125ns,bus_V,5.38648143795228e-05,24.0808567189387,0.240808567189387,1,4.75991299708767e-08,3.0617313997172e-06
holdout_gate47,native_0.25_to_0.125ns,highVgs_V,0.00159309295035825,11.9999934003679,0.119999934003679,1,0,1.72141386491611e-05
holdout_gate47,native_0.25_to_0.125ns,lowVgs_V,0.00192452529630982,11.9904647361148,0.119904647361148,1,6.30495478048942e-09,2.73080490012405e-05
holdout_gate47,native_0.25_to_0.125ns,highVds_V,0.00510342526206387,27.212481910445,0.27212481910445,1,4.66852718581379e-05,8.11094406342603e-05
holdout_gate47,native_0.25_to_0.125ns,lowVds_V,0.00510228536014568,27.3549859317143,0.273549859317143,1,5.26314556523744e-05,8.12413469504478e-05
holdout_gate47,native_0.25_to_0.125ns,highCurrent_A,0.00530891467480732,186.919472830665,1.86919472830665,1,0.000379912095894497,0.000291324390245248
holdout_gate47,native_0.25_to_0.125ns,lowCurrent_A,0.00530891749363893,183.954820417779,1.83954820417779,1,0.000379911709018188,0.000291324384226808
holdout_gate47,native_0.25_to_0.125ns,highGateCurrent_A,3.18618590071651e-05,0.217760036763448,0.01,1,4.69440240130625e-06,3.44282772983573e-07
holdout_gate47,native_0.25_to_0.125ns,lowGateCurrent_A,3.8490505926185e-05,0.217588381715747,0.01,1,4.80489103285575e-06,5.46160980024806e-07
holdout_gate47,native_0.25_to_0.125ns,loadCurrent_A,4.75976680291978e-09,2.98096418635246,0.0298096418635246,1,7.46069872548105e-14,5.01530703993008e-10
holdout_gate47,native_0.25_to_0.125ns,feedCurrent_A,5.01191591766315e-05,14.1407811266504,0.141407811266504,1,2.32405231468391e-05,1.38713987276543e-05
holdout_gate47,spice_0.25_to_0.125ns,switch_V,0.00150717875118822,27.3549979322295,0.273549979322295,1,2.00242370489434e-05,3.70662123531107e-05
holdout_gate47,spice_0.25_to_0.125ns,bus_V,4.42992472500237e-05,24.0808566755165,0.240808566755165,1,1.16263336735756e-07,2.85133970081039e-06
holdout_gate47,spice_0.25_to_0.125ns,highVgs_V,0.000541901760837682,11.999993395109,0.11999993395109,1,3.18607362714829e-11,3.75368281601331e-06
