modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
Linear hybrid,nominal,nominal_seed_130108,8,130108,100,0.1,128,0.00874036762390799,0.00872585309203029,0.00581697410786647,0.019894103229717,0,0,0
Linear hybrid,nominal,nominal_seed_130108,8,130108,250,0.25,128,0.0406420534495557,0.0405698025489847,0.0356332510600795,0.0883489227675502,0,0,0
EDMD hybrid,nominal,nominal_seed_130108,8,130108,1,0.001,128,0.000278971323842304,0.000532063057775415,0.000193760793576142,0.000660432698186417,0,0,0
EDMD hybrid,nominal,nominal_seed_130108,8,130108,20,0.02,128,0.000837053016136803,0.000949617615753821,0.000184255293063064,0.00225081193613696,0,0,0
EDMD hybrid,nominal,nominal_seed_130108,8,130108,50,0.05,128,0.00277214244829065,0.00278380171241949,0.00119725994520812,0.00691739243208128,0,0,0
EDMD hybrid,nominal,nominal_seed_130108,8,130108,100,0.1,128,0.0086497299511656,0.00863802864738183,0.00576608722039648,0.0208721006207953,0,0,0
EDMD hybrid,nominal,nominal_seed_130108,8,130108,250,0.25,128,0.0399656260913806,0.0398933609342812,0.0350693181761485,0.0904552617944642,0,0,0
Nominal physics,nominal,nominal_seed_130109,9,130109,1,0.001,128,0.00012552947426864,0.000450545961727856,0.00012552947426864,0.000641253622435108,0,0,0
Nominal physics,nominal,nominal_seed_130109,9,130109,20,0.02,128,9.49329969292116e-05,0.000459230946673957,9.49329969292116e-05,0.00039652773855769,0,0,0
Nominal physics,nominal,nominal_seed_130109,9,130109,50,0.05,128,9.98296451338524e-05,0.000457326113625261,9.98296451338524e-05,0.000425596272990506,0,0,0
Nominal physics,nominal,nominal_seed_130109,9,130109,100,0.1,128,0.000101725371226562,0.000460221219308754,0.000101725371226562,0.000436625583253497,0,0,0
Nominal physics,nominal,nominal_seed_130109,9,130109,250,0.25,128,0.00010203340485306,0.000457018324522798,0.00010203340485306,0.000438407877930924,0,0,0
Persistent innovation,nominal,nominal_seed_130109,9,130109,1,0.001,128,0.000153194763196012,0.000454903024947165,0.000129220892586246,0.000502228260315894,0,0,0
Persistent innovation,nominal,nominal_seed_130109,9,130109,20,0.02,128,0.000222861282485585,0.000515642732465317,0.000116717272145879,0.000982243989951937,0,0,0
Persistent innovation,nominal,nominal_seed_130109,9,130109,50,0.05,128,0.000394591983939549,0.000592787485820977,0.000276125037033555,0.00166176052011467,0,0,0
Persistent innovation,nominal,nominal_seed_130109,9,130109,100,0.1,128,0.000694839375773574,0.000812378042158521,0.000573684174507597,0.00281197394801541,0,0,0
Persistent innovation,nominal,nominal_seed_130109,9,130109,250,0.25,128,0.00160990570321939,0.00167489222765207,0.00148789828231973,0.00627754115413948,0,0,0
Linear hybrid,nominal,nominal_seed_130109,9,130109,1,0.001,128,0.000247275801974221,0.000465873663740551,0.000180001189920922,0.00084963492823853,0,0,0
Linear hybrid,nominal,nominal_seed_130109,9,130109,20,0.02,128,0.000805423597015267,0.000960384216126039,0.000171938520919817,0.00225680065708722,0,0,0
Linear hybrid,nominal,nominal_seed_130109,9,130109,50,0.05,128,0.00276040270976085,0.00275691791758757,0.00116210188773172,0.00678806379244817,0,0,0
