Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Sample
combined_phase2b,0.204102844120216,0.333050619708063,0.105335502779089,0,0.472130305663044,0.0185181934002385,0.10996675537039,0.483898731706583,0,0,14243547.1621826,0.032,0,0,0,17,0.423751138619161,0.0440868550406542,0.154768800378006,28
physical_only,0.491973881603577,0.770454826135273,0.367375680009192,0,0.565565807152399,0.0246049036201605,0.262397661908609,0.833076369119929,123,0,10818556.9457667,0.05,0,0,0,0,0.881051597821617,0.0553679268187268,0.330898812749124,29
combined_phase2b,0.493872088874653,0.813271232334808,0.331588680367832,0,0.581044689366184,0.0236708387817935,0.262397661908609,0.833076369119929,123,0,10818556.9457667,0.048,0,0,0,17,0.864801975169241,0.0501274913524393,0.330898812749124,29
physical_only,4.42864235017172,6.47075394699023,2.82066574661754,0,9.59535691579174,0.410362189212881,0.206329824464815,9.00436815142902,35,0,12448973.9329472,NaN,1,0,0,0,6.35943209564529,0.386707847997457,0.252557734699721,30
combined_phase2b,4.46978617661669,7.07105737111782,2.48755768406971,0,9.52799618130546,0.38807459913265,0.206329824464815,9.00436815142902,35,0,12448973.9329472,NaN,1,0,0,17,6.97917245097493,0.363693894651066,0.252557734699721,30
physical_only,0.0522247540715286,0.0759864901707722,0.0331237267885244,0,0.430074116843362,0.0200221894886692,0.10407603950546,0.427785911579386,0,0,13714077.2458356,2.22044604925031e-16,0,0,0,0,0.187337023282537,0.0477066869505377,0.169575840990867,31
combined_phase2b,0.078806295703176,0.191666168104043,0.0463635533902164,0,0.492456626588914,0.0227019976469258,0.10407603950546,0.427785911579386,0,0,13714077.2458356,2.22044604925031e-16,0,0,0,17,0.26030135288731,0.0523623093421666,0.169575840990867,31
physical_only,0.075597712606108,0.111837668979773,0.0488065623531311,0,1.39452632922426,0.0651003407761269,0.100094116369533,1.38624427912019,0,0,9741641.21565886,2.22044604925031e-16,0,0,0,0,0.223142673648631,0.0908918823162777,0.16801994220963,32
combined_phase2b,0.0848271056133885,0.202953166067469,0.0983650432162811,0,1.41042570435798,0.0662807051844657,0.100094116369533,1.38624427912019,0,0,9741641.21565886,0.0330000000000001,0,0,0,17,0.289670670458573,0.0980893235919046,0.16801994220963,32
physical_only,5.60361914327226,8.18437829853074,3.56848239985909,0,13.6992555169907,0.587647915370294,0.260054003894496,12.9017191530859,84,0,17670893.7056073,NaN,1,0,0,0,8.07387931631509,0.604803657347797,0.30868084207657,33
combined_phase2b,5.96190576991475,9.20862984849229,3.11296997586772,0,13.4355606597439,0.600281600640785,0.260054003894496,12.9017191530859,84,0,17670893.7056073,NaN,1,0,0,17,9.21057497680346,0.623264160826781,0.30868084207657,33
physical_only,0.276535526316038,0.403790188744139,0.176010845961899,0,0.857384627455372,0.038169857868015,0.270175034999128,0.822214206333584,81,0,22905036.2264901,0.038,0,0,0,0,0.293537339832775,0.0601199078686195,0.3176373526939,34
combined_phase2b,0.271045589996812,0.449984759825014,0.174203741225412,0,0.854742195487878,0.0376964999093322,0.270175034999128,0.822214206333584,81,0,22905036.2264901,0.0390000000000001,0,0,0,17,0.567419572678323,0.0607561543762621,0.3176373526939,34
