time_s,theta_ref_rad,theta_rad,theta_measured_rad,omega_rad_s,current_A,true_tracking_error_rad,measurement_error_rad,voltage_cmd_unsaturated_V,voltage_cmd_V,gaussian_fault_rad,sinusoidal_fault_rad,count_jump_fault_rad,dropout_active,measurement_stale
0.541,0.523598775598299,0.558141829632989,0.558141829632989,-0.102481968162755,-0.00142769677784701,-0.0345430540346898,0,-0.00991251841513323,-0.00991251841513323,0,0,0,0,0
0.542,0.523598775598299,0.558039001609151,0.558039001609151,-0.103173166410431,-0.00141843214387293,-0.0344402260108518,0,-0.00994881840769297,-0.00994881840769297,0,0,0,0,0
0.543,0.523598775598299,0.557935485333178,0.557935485333178,-0.10385825874931,-0.00140674580525423,-0.0343367097348793,0,-0.00998212056084986,-0.00998212056084986,0,0,0,0,0
0.544,0.523598775598299,0.557831287541206,0.557831287541206,-0.104535997585725,-0.00139278105853937,-0.0342325119429074,0,-0.0100124883986176,-0.0100124883986176,0,0,0,0,0
0.545,0.523598775598299,0.557726416178667,0.557726416178667,-0.105205211573751,-0.00137667740999152,-0.0341276405803685,0,-0.0100399868076706,-0.0100399868076706,0,0,0,0,0
0.546,0.523598775598299,0.557620880325083,0.557620880325083,-0.105864803531581,-0.00135857054416157,-0.0340221047267842,0,-0.0100646818580522,-0.0100646818580522,0,0,0,0,0
0.547,0.523598775598299,0.557514690120948,0.557514690120948,-0.106513748344863,-0.00133859230062609,-0.0339159145226492,0,-0.010086640631558,-0.010086640631558,0,0,0,0,0
0.548,0.523598775598299,0.557407856696715,0.557407856696715,-0.107151090861256,-0.00131687065848877,-0.033809081098416,0,-0.0101059310576645,-0.0101059310576645,0,0,0,0,0
0.549,0.523598775598299,0.557300392103886,0.557300392103886,-0.107775943780249,-0.00129352972824966,-0.0337016165055873,0,-0.0101226217568693,-0.0101226217568693,0,0,0,0,0
0.55,0.523598775598299,0.55719230924822,0.55719230924822,-0.108387485542042,-0.00126868975065608,-0.0335935336499208,0,-0.0101367818913116,-0.0101367818913116,0,0,0,0,0
0.551,0.523598775598299,0.557083621825041,0.557083621825041,-0.108984958219146,-0.00124246710215957,-0.033484846226742,0,-0.0101484810225259,-0.0101484810225259,0,0,0,0,0
0.552,0.523598775598299,0.556974344256663,0.556974344256663,-0.109567665414087,-0.00121497430661062,-0.0333755686583642,0,-0.0101577889761843,-0.0101577889761843,0,0,0,0,0
0.553,0.523598775598299,0.556864491631905,0.556864491631905,-0.110134970166459,-0.0011863200528335,-0.0332657160336062,0,-0.010164775713679,-0.010164775713679,0,0,0,0,0
0.554,0.523598775598299,0.556754079647694,0.556754079647694,-0.110686292872355,-0.00115660921773296,-0.0331553040493955,0,-0.0101695112103879,-0.0101695112103879,0,0,0,0,0
0.555,0.523598775598299,0.556643124552746,0.556643124552746,-0.11122110921901,-0.00112594289459304,-0.0330443489544475,0,-0.0101720653404727,-0.0101720653404727,0,0,0,0,0
0.556,0.523598775598299,0.556531643093297,0.556531643093297,-0.111738948137343,-0.00109441842624032,-0.0329328674949984,0,-0.0101725077680411,-0.0101725077680411,0,0,0,0,0
0.557,0.523598775598299,0.556419652460876,0.556419652460876,-0.112239389774879,-0.00106212944274966,-0.0328208768625773,0,-0.0101709078445234,-0.0101709078445234,0,0,0,0,0
0.558,0.523598775598299,0.556307170242093,0.556307170242093,-0.112722063491373,-0.00102916590338448,-0.0327083946437942,0,-0.0101673345120909,-0.0101673345120909,0,0,0,0,0
0.559,0.523598775598299,0.556194214370418,0.556194214370418,-0.113186645879301,-0.000995614142470039,-0.0325954387721188,0,-0.0101618562129562,-0.0101618562129562,0,0,0,0,0
0.56,0.523598775598299,0.556080803079926,0.556080803079926,-0.113632858811212,-0.00096155691890912,-0.0324820274816272,0,-0.0101545408043912,-0.0101545408043912,0,0,0,0,0
0.561,0.523598775598299,0.555966954860985,0.555966954860985,-0.114060467515795,-0.000927073469059486,-0.032368179262686,0,-0.0101454554792936,-0.0101454554792936,0,0,0,0,0
0.562,0.523598775598299,0.555852688417844,0.555852688417844,-0.114469278684343,-0.000892239562701288,-0.0322539128195455,0,-0.0101346666921383,-0.0101346666921383,0,0,0,0,0
0.563,0.523598775598299,0.555738022628109,0.555738022628109,-0.114859138609185,-0.00085712756183236,-0.0321392470298103,0,-0.0101222400901432,-0.0101222400901432,0,0,0,0,0
0.564,0.523598775598299,0.555622976504055,0.555622976504055,-0.115229931355495,-0.000821806482038428,-0.032024200905756,0,-0.0101082404494915,-0.0101082404494915,0,0,0,0,0
0.565,0.523598775598299,0.555507569155754,0.555507569155754,-0.115581576967753,-0.000786342056196264,-0.0319087935574551,0,-0.0100927316164333,-0.0100927316164333,0,0,0,0,0
0.566,0.523598775598299,0.555391819755979,0.555391819755979,-0.115914029712024,-0.000750796800274139,-0.0317930441576806,0,-0.010075776453112,-0.010075776453112,0,0,0,0,0
0.567,0.523598775598299,0.555275747506846,0.555275747506846,-0.116227276355085,-0.000715230081006019,-0.0316769719085469,0,-0.0100574367879442,-0.0100574367879442,0,0,0,0,0
0.568,0.523598775598299,0.555159371608154,0.555159371608154,-0.116521334481303,-0.000679698185222808,-0.0315605960098547,0,-0.0100377733703948,-0.0100377733703948,0,0,0,0,0
0.569,0.523598775598299,0.555042711227397,0.555042711227397,-0.116796250848078,-0.000644254390634333,-0.0314439356290985,0,-0.0100168458299834,-0.0100168458299834,0,0,0,0,0
0.57,0.523598775598299,0.554925785471399,0.554925785471399,-0.117052099780529,-0.000608949037863505,-0.0313270098730998,0,-0.0099947126393632,-0.0099947126393632,0,0,0,0,0
0.571,0.523598775598299,0.554808613359524,0.554808613359524,-0.117288981606025,-0.000573829603543484,-0.031209837761225,0,-0.0099714310813136,-0.0099714310813136,0,0,0,0,0
0.572,0.523598775598299,0.554691213798448,0.554691213798448,-0.117507021129037,-0.000538940774296293,-0.0310924382001495,0,-0.00994705721949131,-0.00994705721949131,0,0,0,0,0
0.573,0.523598775598299,0.554573605558425,0.554573605558425,-0.117706366146714,-0.000504324521420597,-0.030974829960126,0,-0.00992164587278574,-0.00992164587278574,0,0,0,0,0
0.574,0.523598775598299,0.554455807251016,0.554455807251016,-0.117887186005479,-0.000470020176123962,-0.0308570316527174,0,-0.00989525059312794,-0.00989525059312794,0,0,0,0,0
0.575,0.523598775598299,0.55433783730825,0.55433783730825,-0.118049670198874,-0.00043606450514341,-0.0307390617099512,0,-0.00986792364660001,-0.00986792364660001,0,0,0,0,0
0.576,0.523598775598299,0.554219713963156,0.554219713963156,-0.118194027006776,-0.000402491786604536,-0.0306209383648571,0,-0.00983971599770346,-0.00983971599770346,0,0,0,0,0
0.577,0.523598775598299,0.554101455231642,0.554101455231642,-0.118320482176061,-0.00036933388597918,-0.0305026796333433,0,-0.00981067729663908,-0.00981067729663908,0,0,0,0,0
0.578,0.523598775598299,0.553983078895671,0.553983078895671,-0.118429277642682,-0.000336620332007665,-0.0303843032973719,0,-0.00978085586945712,-0.00978085586945712,0,0,0,0,0
0.579,0.523598775598299,0.553864602487691,0.553864602487691,-0.118520670295104,-0.000304378392459174,-0.0302658268893917,0,-0.0097502987109408,-0.0097502987109408,0,0,0,0,0
0.58,0.523598775598299,0.553746043276286,0.553746043276286,-0.118594930778915,-0.000272633149611489,-0.030147267677987,0,-0.00971905148008512,-0.00971905148008512,0,0,0,0,0
0.581,0.523598775598299,0.553627418252999,0.553627418252999,-0.118652342342436,-0.000241407575337429,-0.0300286426547005,0,-0.00968715849803971,-0.00968715849803971,0,0,0,0,0
0.582,0.523598775598299,0.55350874412029,0.55350874412029,-0.118693199723038,-0.000210722605692613,-0.0299099685219913,0,-0.00965466274838735,-0.00965466274838735,0,0,0,0,0
0.583,0.523598775598299,0.553390037280585,0.553390037280585,-0.118717808073859,-0.000180597214906229,-0.0297912616822857,0,-0.00962160587962733,-0.00962160587962733,0,0,0,0,0
0.584,0.523598775598299,0.55327131382638,0.55327131382638,-0.118726481930537,-0.000151048488681201,-0.0296725382280812,0,-0.00958802820974472,-0.00958802820974472,0,0,0,0,0
0.585,0.523598775598299,0.553152589531363,0.553152589531363,-0.118719544217553,-0.000122091696718208,-0.0295538139330644,0,-0.00955396873274288,-0.00955396873274288,0,0,0,0,0
0.586,0.523598775598299,0.553033879842501,0.553033879842501,-0.118697325293703,-9.37403643829875e-05,-0.0294351042442025,0,-0.00951946512702195,-0.00951946512702195,0,0,0,0,0
0.587,0.523598775598299,0.552915199873069,0.552915199873069,-0.118660162036204,-6.6006343442079e-05,-0.02931642427477,0,-0.00948455376549086,-0.00948455376549086,0,0,0,0,0
0.588,0.523598775598299,0.552796564396571,0.552796564396571,-0.1186083969629,-3.88998817984136e-05,-0.0291977887982725,0,-0.0094492697273003,-0.0094492697273003,0,0,0,0,0
0.589,0.523598775598299,0.552677987841528,0.552677987841528,-0.118542377391962,-1.24296921628245e-05,-0.0290792122432295,0,-0.00941364681109229,-0.00941364681109229,0,0,0,0,0
0.59,0.523598775598299,0.552559484287077,0.552559484287077,-0.118462454638508,1.33969803961624e-05,-0.0289607086887785,0,-0.00937771754965824,-0.00937771754965824,0,0,0,0,0
0.591,0.523598775598299,0.552441067459363,0.552441067459363,-0.118368983247472,3.85742920782869e-05,-0.0288422918610645,0,-0.00934151322590679,-0.00934151322590679,0,0,0,0,0
