Record,Fixture,Variant,Arm,Kind,Elapsed_s,Status,Error
V2DEV02_V14_BASELINE_exposed,V2DEV02,V14,BASELINE,exposed,6.1064658,passed,
V2DEV02_V14_EM_ONLY_clean,V2DEV02,V14,EM_ONLY,clean,4.2126767,passed,
V2DEV02_V14_EM_ONLY_exposed,V2DEV02,V14,EM_ONLY,exposed,6.1773826,passed,
V2DEV02_V14_SW_ONLY_clean,V2DEV02,V14,SW_ONLY,clean,4.9170038,passed,
V2DEV02_V14_SW_ONLY_exposed,V2DEV02,V14,SW_ONLY,exposed,8.443328,passed,
V2DEV02_V14_COMBINED_clean,V2DEV02,V14,COMBINED,clean,6.8749133,passed,
V2DEV02_V14_COMBINED_exposed,V2DEV02,V14,COMBINED,exposed,9.4490865,passed,
V2DEV01_V15_BASELINE_clean,V2DEV01,V15,BASELINE,clean,7.2769516,passed,
V2DEV01_V15_BASELINE_exposed,V2DEV01,V15,BASELINE,exposed,8.6766486,passed,
V2DEV01_V15_EM_ONLY_clean,V2DEV01,V15,EM_ONLY,clean,6.1818339,passed,
V2DEV01_V15_EM_ONLY_exposed,V2DEV01,V15,EM_ONLY,exposed,7.3371785,passed,
V2DEV01_V15_SW_ONLY_clean,V2DEV01,V15,SW_ONLY,clean,4.8781412,passed,
V2DEV01_V15_SW_ONLY_exposed,V2DEV01,V15,SW_ONLY,exposed,6.6032638,passed,
V2DEV01_V15_COMBINED_clean,V2DEV01,V15,COMBINED,clean,4.6474541,passed,
V2DEV01_V15_COMBINED_exposed,V2DEV01,V15,COMBINED,exposed,7.3880521,passed,
V2DEV02_V15_BASELINE_clean,V2DEV02,V15,BASELINE,clean,4.0709782,passed,
V2DEV02_V15_BASELINE_exposed,V2DEV02,V15,BASELINE,exposed,6.2351963,passed,
V2DEV02_V15_EM_ONLY_clean,V2DEV02,V15,EM_ONLY,clean,4.2152941,passed,
V2DEV02_V15_EM_ONLY_exposed,V2DEV02,V15,EM_ONLY,exposed,6.3348824,passed,
V2DEV02_V15_SW_ONLY_clean,V2DEV02,V15,SW_ONLY,clean,5.066106,passed,
V2DEV02_V15_SW_ONLY_exposed,V2DEV02,V15,SW_ONLY,exposed,8.3909958,passed,
V2DEV02_V15_COMBINED_clean,V2DEV02,V15,COMBINED,clean,6.787822,passed,
V2DEV02_V15_COMBINED_exposed,V2DEV02,V15,COMBINED,exposed,9.2934634,passed,
V2DEV01_V16_BASELINE_clean,V2DEV01,V16,BASELINE,clean,7.1247827,passed,
V2DEV01_V16_BASELINE_exposed,V2DEV01,V16,BASELINE,exposed,8.9581801,passed,
V2DEV01_V16_EM_ONLY_clean,V2DEV01,V16,EM_ONLY,clean,5.8519134,passed,
V2DEV01_V16_EM_ONLY_exposed,V2DEV01,V16,EM_ONLY,exposed,7.0390183,passed,
V2DEV01_V16_SW_ONLY_clean,V2DEV01,V16,SW_ONLY,clean,4.7819077,passed,
V2DEV01_V16_SW_ONLY_exposed,V2DEV01,V16,SW_ONLY,exposed,6.6337771,passed,
V2DEV01_V16_COMBINED_clean,V2DEV01,V16,COMBINED,clean,4.5936457,passed,
V2DEV01_V16_COMBINED_exposed,V2DEV01,V16,COMBINED,exposed,7.2806487,passed,
V2DEV02_V16_BASELINE_clean,V2DEV02,V16,BASELINE,clean,4.0476867,passed,
V2DEV02_V16_BASELINE_exposed,V2DEV02,V16,BASELINE,exposed,6.1724379,passed,
V2DEV02_V16_EM_ONLY_clean,V2DEV02,V16,EM_ONLY,clean,4.2628822,passed,
V2DEV02_V16_EM_ONLY_exposed,V2DEV02,V16,EM_ONLY,exposed,6.2931106,passed,
V2DEV02_V16_SW_ONLY_clean,V2DEV02,V16,SW_ONLY,clean,4.92311,passed,
V2DEV02_V16_SW_ONLY_exposed,V2DEV02,V16,SW_ONLY,exposed,8.3907696,passed,
V2DEV02_V16_COMBINED_clean,V2DEV02,V16,COMBINED,clean,6.4669304,passed,
V2DEV02_V16_COMBINED_exposed,V2DEV02,V16,COMBINED,exposed,9.2722916,passed,
